Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
49	vtomecek	0.675919392	0.995233112	0.014450867	0.676572874	0.594059406	0.50484199	0.63531614	0.562613651
50	Eric Farng	0.684387987	0.99517851	0.014596734	0.685188113	0.584158416	0.504887622	0.634673264	0.56238974
51	vladster	0.712538226	0.995041869	0.015229807	0.71380019	0.554455446	0.505135838	0.634127818	0.562329334
52	LilyQZ	0.577903238	0.995771382	0.012910365	0.576983876	0.693069307	0.504340873	0.635026591	0.562188891
53	dingxm	0.587548028	0.995708155	0.013026241	0.586784698	0.683168317	0.504367198	0.634976507	0.562185617
54	ChenShuanWang	0.577746413	0.995770228	0.012905605	0.576825798	0.693069307	0.504337916	0.634947553	0.562156078
55	"""x"""	0.634438956	0.995411706	0.013648966	0.634445147	0.633663366	0.504530336	0.634054257	0.561925059
56	MojaPere	0.632635458	0.995398582	0.013582343	0.632627253	0.633663366	0.504490463	0.633145309	0.561543119
57	AdrianCuyugan	0.555006665	0.995877754	0.012591815	0.553746443	0.712871287	0.504234785	0.633308865	0.561448977
58	GoPackers	0.622049714	0.995445344	0.013404826	0.621877964	0.643564356	0.504425085	0.63272116	0.561335758
59	Coffee N tea	0.59538932	0.995502646	0.012901983	0.594846665	0.663366337	0.504202314	0.629106501	0.55977144
60	alraun	0.652630754	0.995181884	0.013704785	0.653019285	0.603960396	0.504443335	0.628489841	0.559675571
61	Digvijay	0.623069082	0.995327693	0.013239553	0.622984508	0.633663366	0.504283623	0.628323937	0.55951149
62	AVCarreiro	0.622990669	0.995327103	0.013236815	0.622905469	0.633663366	0.504281959	0.628284418	0.559494796
63	?r3D	0.708774406	0.994905869	0.014773033	0.710085362	0.544554455	0.504839451	0.627319909	0.559454525
64	Sumatakyo	0.621108759	0.995312896	0.013171434	0.621008536	0.633663366	0.504242165	0.627335951	0.559093948
65	Hydergine	0.611385556	0.995365602	0.013039117	0.611128675	0.643564356	0.50420236	0.627346516	0.559073674
66	Olive	0.562847957	0.995657655	0.012468828	0.56180841	0.693069307	0.504063242	0.627438858	0.559024795
67	robertowm	0.523406257	0.995926373	0.012081633	0.521735694	0.732673267	0.504004003	0.627204481	0.558895329
68	dancamma	0.629263703	0.99525	0.013254786	0.629307619	0.623762376	0.504252393	0.626534998	0.558781915
69	aldeguerp	0.638281189	0.995195269	0.013373598	0.63847613	0.613861386	0.504284434	0.626168758	0.558655873
70	esther	0.511173841	0.995981453	0.011936973	0.509326589	0.742574257	0.503959213	0.625950423	0.5583694
71	MrPotato	0.471732141	0.996308105	0.011627907	0.469253873	0.782178218	0.503968006	0.625716045	0.558281526
72	fatal_error	0.617266526	0.99528362	0.013039935	0.617135631	0.633663366	0.504161777	0.625399499	0.558274313
